mood,temperature,humidity,weather_condition,recipe_category
happy,22,50,sunny,Biryani
sad,15,70,rainy,Soup
neutral,30,30,sunny,Icecream
happy,25,45,cloudy,Grill
sad,10,80,rainy,Tea
neutral,35,25,sunny,Smoothie
happy,20,55,sunny,Biryani
sad,5,85,rainy,Soup
neutral,40,20,sunny,Icecream
happy,36,30,cloudy,Maggie
sad,17,60,cloudy,Tea
sad,23,68,sunny,Smoothie
happy,24,58,rainy,Maggie
happy,40,50,rainy,Grill
neutral,30,40,cloudy,Tea
neutral,40,69,sunny,Biryani
sad,49,60,sunny,Icecream
sad,17,22,rainy,Grill
sad,23,34,cloudy,Smoothie
happy,40,67,sunny,Smoothie
happy,29,10,cloudy,Soup
sad,40,30,sunny,Biryani
neutral,20,40,rainy,Soup
neutral,50,40,sunny,Icecream
happy,10,10,cloudy,Tea
sad,40,20,cloudy,Soup
happy,30,40,sunny,Biryani
neutral,20,10,rainy,Tea
sad,40,89,sunny,Smoothie
happy,50,10,cloudy,Grill
neutral,20,10,rainy,Grill
happy,30,50,cloudy,Biryani
sad,20,50,cloudy,Maggie
sad,50,90,sunny,Icecream
happy,60,90,sunny,Biryani
neutral,80,70,sunny,Smoothie
sad,30,30,cloudy,Soup
sad,90,80,sunny,Icecream
happy,35,52,cloudy,Biryani
happy,20,59,cloudy,Grill
